# Compound nouns, and the words they are made of.
#
# One line per compound: the word, a tab, then its parts. A sentence saying a
# compound listed ABOVE THE MARKER counts as saying its parts instead, so a
# reader who knows `krank` and `haus` can read `Krankenhaus` without it being
# taught as a word of its own.
#
# ONLY LINES ABOVE THE MARKER COUNT. Below it these are guesses, made by
# cutting wherever both halves are words the corpus says at least thirty
# times. Check each one; delete what is wrong; move the marker down. Nothing
# unverified ever reaches the corpus.
#
# Nouns only, decided by capitalisation -- German writes its nouns with a
# capital, so a lemma whose surfaces are 80% capitalised is one. That test
# removes the family that made the earlier version unusable: separable verb
# prefixes split cleanly and mean something else entirely (ueberleben is not
# ueber + leben, uebernehmen is not ueber + nehmen), and adverbs like
# vielleicht and teilweise merely look compound.
#
# Two filters came before it, each fixing the version above:
#   parts must be words the corpus says 30+ times, or `politisch` comes out
#   as `polit` + `isch` and a hundred rejections sit at the top;
#   parts must not be suffixes, or every `-lich` and `-ung` word decomposes.
#
# Ordered by how often the corpus says each word, most frequent first, so the
# checking pays earliest. The number after each line is that count.








jahrhundert	jahr hundert	# 534
wetterphänomen	wetter phänomen	# 3
wetterstation	wetter station	# 3
wiederherstellung	wieder herstellung	# 3
wildbahn	wild bahn	# 3
wildpflanze	wild pflanze	# 3
windpark	wind park	# 3
winterzeit	winter zeit	# 3
wochenmarkt	woche markt	# 3
wohlfahrtsverband	wohl fahrt verband	# 3
wohnblock	wohn block	# 3
wohngruppe	wohn gruppe	# 3
wohnsituation	wohn situation	# 3
wortakzent	wort akzent	# 3
wortlaut	wort laut	# 3
wunschdenken	wunsch denken	# 3
wunschliste	wunsch liste	# 3
wunschsatz	wunsch satz	# 3
wählergruppe	wähler gruppe	# 3
wählerstruktur	wähler struktur	# 3
wählerwanderung	wähler wanderung	# 3
wärmeenergie	wärme energie	# 3
zeichentrickfilm	zeichen trick film	# 3
zeigefinger	zeig finger	# 3
zentralstaat	zentral staat	# 3
zielrichtung	ziel richtung	# 3
zimmerbrand	zimmer brand	# 3
zimmerpflanze	zimmer pflanze	# 3
zinsertrag	zins ertrag	# 3
zivilgesellschaft	zivil gesellschaft	# 3
zivilistenzelle	zivilist zelle	# 3
zollstock	zoll stock	# 3
zuckerkonsum	zucker konsum	# 3
zuckermoleküle	zucker moleküle	# 3
zuschauerraum	zuschauer raum	# 3
zweckbündnis	zweck bündnis	# 3
zwischending	zwischen ding	# 3
zwischenwelt	zwischen welt	# 3
überfallkommando	über fall kommando	# 3
überflieger	über flieger	# 3
überführung	über führung	# 3
überlebenskünstler	über leben künstler	# 3
übersprungshandlung	über sprung handlung	# 3
abenteuerlust	abenteuer lust	# 2
abenteuerroman	abenteuer roman	# 2
adjektivendung	adjektiv endung	# 2
aggressivspieler	aggressiv spieler	# 2
aktentasche	akte tasche	# 2
aktienanteil	aktie anteil	# 2
aktienmarkt	aktie markt	# 2
aktienoption	aktie option	# 2
aktivistengruppe	aktivist gruppe	# 2
aktivurlaub	aktiv urlaub	# 2
alienplan	alien plan	# 2
allgemeinwohl	allgemein wohl	# 2
alpennähe	alpen nähe	# 2
alterbasis	alter basis	# 2
antwortbrief	antwort brief	# 2
antwortmöglichkeit	antwort möglichkeit	# 2
antwortrund	antwort rund	# 2
antwortzeit	antwort zeit	# 2
apfelwein	apfel wein	# 2
arbeiterameise	arbeit ameise	# 2
arbeiterbewegung	arbeit bewegung	# 2
arbeiterklasse	arbeit klasse	# 2
arbeiterschicht	arbeit schicht	# 2
arbeiterverein	arbeit verein	# 2
arbeitgeberpräsident	arbeitgeber präsident	# 2
arbeitgeberverband	arbeitgeber verband	# 2
arbeitsmarktreform	arbeit markt reform	# 2
arschbombe	arsch bombe	# 2
atembeschwerde	atem beschwerde	# 2
atemmaske	atem maske	# 2
atomabkommen	atom abkommen	# 2
atommüllproblem	atom müll problem	# 2
atomstrom	atom strom	# 2
atomtechnologie	atom technologie	# 2
atomunfall	atom unfall	# 2
atomwissenschaftler	atom wissenschaftler	# 2
aufgabengebiet	aufgabe gebiet	# 2
aufnahmeprüfung	aufnahme prüfung	# 2
augenhöhle	auge höhle	# 2
augenkrankheit	auge krankheit	# 2
augenoperation	auge operation	# 2
augenwinkel	auge winkel	# 2
augenzahl	auge zahl	# 2
ausflugsorte	ausflug sorte	# 2
ausländerbehörde	ausländer behörde	# 2
aussendarstellung	aussen darstellung	# 2
aussensteuergesetz	aussen steuer gesetz	# 2
aussentemperatur	aussen temperatur	# 2
austauschjahr	austausch jahr	# 2
austauschschülerin	austausch schülerin	# 2
austauschteilchen	austausch teilchen	# 2
autobahnbrücke	auto bahn brücke	# 2
autobombe	auto bombe	# 2
autoimmunreaktion	auto immun reaktion	# 2
automodell	auto modell	# 2
autoreifen	auto reifen	# 2
autoschlüssel	auto schlüssel	# 2
autosprache	auto sprache	# 2
autostrasse	auto strasse	# 2
babypause	baby pause	# 2
babysprache	baby sprache	# 2
babyuniversum	baby universum	# 2
bahnbetrieb	bahn betrieb	# 2
bahngelände	bahn gelände	# 2
bahnlinie	bahn linie	# 2
ballkleid	ball kleid	# 2
bananenkoffer	banane koffer	# 2
bankverbindung	bank verbindung	# 2
basisarbeit	basis arbeit	# 2
batterietechnologie	batterie technologie	# 2
bauchmuskel	bauch muskel	# 2
bauernprotest	bauer protest	# 2
beispielverbe	beispiel verbe	# 2
bergarbeiter	berg arbeiter	# 2
bergerfahrung	berg erfahrung	# 2
bergfest	berg fest	# 2
bergkette	berg kette	# 2
bergmassiv	berg massiv	# 2
bergsteigen	berg steigen	# 2
bergwelt	berg welt	# 2
bettzeug	bett zeug	# 2
beweisfoto	beweis foto	# 2
beweismittel	beweis mittel	# 2
beweisstück	beweis stück	# 2
bibelstelle	bibel stelle	# 2
bierherstellung	bier herstellung	# 2
bierkultur	bier kultur	# 2
bildqualität	bild qualität	# 2
bildschirmzeit	bild schirm zeit	# 2
bildstein	bild stein	# 2
billigprodukt	billig produkt	# 2
blauhelmsoldat	blau helm soldat	# 2
blickkontakt	blick kontakt	# 2
blickpunkt	blick punkt	# 2
blockunterricht	block unterricht	# 2
blumenerde	blume erde	# 2
blumengeschäft	blume geschäft	# 2
blumenladen	blume laden	# 2
blutbahn	blut bahn	# 2
blutfahne	blut fahne	# 2
blutsonntag	blut sonntag	# 2
blutzuckerkurve	blut zucker kurve	# 2
blutzuckerwert	blut zucker wert	# 2
blödblatt	blöd blatt	# 2
bombenattentat	bombe attentat	# 2
bootschirm	boot schirm	# 2
bordkarte	bord karte	# 2
bordrestaurant	bord restaurant	# 2
branchendienst	branche dienst	# 2
branchenexpertin	branche expertin	# 2
branchenverband	branche verband	# 2
briefkontakt	brief kontakt	# 2
briefroman	brief roman	# 2
briefwahlstimme	brief wahl stimme	# 2
bruchrechnen	bruch rechnen	# 2
brusthöhle	brust höhle	# 2
brustmuskel	brust muskel	# 2
bruttoeinkommen	brutto einkommen	# 2
bruttolohn	brutto lohn	# 2
brückentechnologie	brücke technologie	# 2
brückenteil	brücke teil	# 2
buchempfehlung	buch empfehlung	# 2
buchführungsprogramm	buch führung programm	# 2
buchhändler	buch händler	# 2
buchreihe	buch reihe	# 2
bundesagentur	bund agentur	# 2
bundesangestellter	bund angestellter	# 2
bundesbank	bund bank	# 2
bundesbildungsministerium	bund bildung ministerium	# 2
bundesdurchschnitt	bund durchschnitt	# 2
bundesentschädigungsgesetz	bund entschädigung gesetz	# 2
bundesfamilienministerin	bund familie ministerin	# 2
bundesforschungsministerin	bund forschung ministerin	# 2
bundesfreiwilligendienst	bund freiwillig dienst	# 2
bundeshauptstadt	bund hauptstadt	# 2
bundesinnenministerium	bund sinn ministerium	# 2
bundesjustizminister	bund justiz minister	# 2
bundeslandwirtschaftsminister	bund land wirtschaft minister	# 2
bundessicherheitsrat	bund sicherheitsrat	# 2
bundesverfassung	bund verfassung	# 2
bundesverfassungsgerichtsgesetz	bund verfassung gericht gesetz	# 2
bundesverkehrsminister	bund verkehr minister	# 2
bundesverwaltungsgericht	bund verwaltung gericht	# 2
bundeswahlleiter	bund wahl leiter	# 2
bundeswehrsoldat	bundeswehr soldat	# 2
bundeswehrübung	bundeswehr übung	# 2
burgerladen	burger laden	# 2
bühnenprogramm	bühne programm	# 2
bündnissystem	bündnis system	# 2
bürgerhaus	bürger haus	# 2
bürgermeisterkandidat	bürger meist kandidat	# 2
büroalltag	büro alltag	# 2
büroarbeit	büro arbeit	# 2
büroartikel	büro artikel	# 2
cannabishandel	cannabis handel	# 2
cannabismarkt	cannabis markt	# 2
cannabispflanze	cannabis pflanze	# 2
chefarzt	chef arzt	# 2
chefposten	chef posten	# 2
chefsache	chef sache	# 2
chemiestudium	chemie studium	# 2
christkind	christ kind	# 2
computerchip	computer chip	# 2
computerladen	computer laden	# 2
computerprogramm	computer programm	# 2
computerraum	computer raum	# 2
dankesehr	dank sehr	# 2
datenaustausch	date austausch	# 2
datenschutzmissbrauch	date schutz missbrauch	# 2
datenverkehr	date verkehr	# 2
dauerlösung	dauer lösung	# 2
demokratiefest	demokratie fest	# 2
demokratieverständnis	demokratie verständnis	# 2
denkfalle	denk falle	# 2
denkprozess	denk prozess	# 2
denkzettel	denk zettel	# 2
deutschlandticket	deutsch land ticket	# 2
deutschsprecher	deutsch sprecher	# 2
deutschtürke	deutsch türke	# 2
dialektwort	dialekt wort	# 2
dienstgrad	dienst grad	# 2
dienstgrade	dienst grade	# 2
dienstkleidung	dienst kleidung	# 2
dieselauto	diesel auto	# 2
dieselskandal	diesel skandal	# 2
digitalkonzern	digital konzern	# 2
digitalunterricht	digital unterricht	# 2
direktverbindung	direkt verbindung	# 2
direktwahl	direkt wahl	# 2
direktzahlung	direkt zahlung	# 2
distanzunterricht	distanz unterricht	# 2
donnerstagmorgen	donnerstag morgen	# 2
dorfladen	dorf laden	# 2
drehbank	dreh bank	# 2
drehbewegung	dreh bewegung	# 2
drehmomentkurve	dreh moment kurve	# 2
drehplan	dreh plan	# 2
drehzahl	dreh zahl	# 2
drogenmissbrauch	droge missbrauch	# 2
drohnenangriff	drohne angriff	# 2
dunkelfeld	dunkel feld	# 2
durcheinanderreden	durch einander reden	# 2
durchfallerkrankung	durch fall erkrankung	# 2
durchschlagskraft	durch schlag kraft	# 2
durchschnittsdeutsch	durch schnitt deutsch	# 2
durchschnittsgehalt	durch schnitt gehalt	# 2
durchschnittsmann	durch schnitt mann	# 2
durchschnittsmensch	durch schnitt mensch	# 2
durchschnittsrente	durch schnitt rente	# 2
durchschnittssteuersatz	durch schnitt steuer satz	# 2
durchschnittswochenende	durch schnitt wochenende	# 2
ehrenfrau	ehre frau	# 2
ehrengast	ehre gast	# 2
einfachzucker	einfach zucker	# 2
einkommensteuergesetz	einkommen steuer gesetz	# 2
einsatzleitung	einsatz leitung	# 2
eisenbahnstrecke	eisen bahn strecke	# 2
elefantengrösse	elefant grösse	# 2
energiebereich	energie bereich	# 2
energieeinheit	energie einheit	# 2
energiefrag	energie frag	# 2
energiehunger	energie hunger	# 2
energielieferung	energie lieferung	# 2
energieminister	energie minister	# 2
energiewirtschaft	energie wirtschaft	# 2
englischlehrerin	englisch lehrerin	# 2
enkelgeneration	enkel generation	# 2
entscheidungsspielraum	entscheidung spiel raum	# 2
erstaufnahmeeinrichtung	erst aufnahme einrichtung	# 2
erstgespräch	erst gespräch	# 2
erwachsenenalter	erwachsen alter	# 2
euroraum	euro raum	# 2
existenzgrundlage	existenz grundlage	# 2
extrapunkt	extra punkt	# 2
extrembeispiel	extrem beispiel	# 2
extremsituation	extrem situation	# 2
extremwetterereignis	extrem wetter ereignis	# 2
fabrikarbeit	fabrik arbeit	# 2
fabrikarbeiter	fabrik arbeiter	# 2
fachbereichsleiter	fach bereich leiter	# 2
fachbuch	fach buch	# 2
fachgruppe	fach gruppe	# 2
fachliteratur	fach literatur	# 2
fachorganisation	fach organisation	# 2
fachstell	fach stell	# 2
fachwerk	fach werk	# 2
fahrbahn	fahr bahn	# 2
fahrerflucht	fahr flucht	# 2
fahrradhelm	fahrrad helm	# 2
fahrradladen	fahrrad laden	# 2
fahrradstaffel	fahrrad staffel	# 2
fahrradverkehr	fahrrad verkehr	# 2
fahrradwitz	fahrrad witz	# 2
fahrstreifenwechsel	fahr streifen wechsel	# 2
fahrstunde	fahr stunde	# 2
fahrtrichtung	fahrt richtung	# 2
fallschirmspringen	fall schirm springen	# 2
falschaussage	falsch aussage	# 2
falschbehauptung	falsch behauptung	# 2
falschfarbe	falsch farbe	# 2
falschnachricht	falsch nachricht	# 2
familienbeziehung	familie beziehung	# 2
familiendrama	familie drama	# 2
familiengruppe	familie gruppe	# 2
familienhilfe	familie hilfe	# 2
familienkreis	familie kreis	# 2
familienministerin	familie ministerin	# 2
familienmodell	familie modell	# 2
familienmoral	familie moral	# 2
familienplanung	familie planung	# 2
fastenbrechen	fast brechen	# 2
faustschlag	faust schlag	# 2
februarrevolution	februar revolution	# 2
feldbericht	feld bericht	# 2
fernglas	fern glas	# 2
festnetz	fest netz	# 2
fettquelle	fett quelle	# 2
feuergott	feuer gott	# 2
feuerholz	feuer holz	# 2
feuerpause	feuer pause	# 2
feuerwehrfrau	feuerwehr frau	# 2
feuerwehrmann	feuerwehr mann	# 2
fiebertraum	fieber traum	# 2
filmbranche	film branche	# 2
filmdreh	film dreh	# 2
filmfestspiel	film fest spiel	# 2
filmhochschule	film hochschule	# 2
filmszene	film szene	# 2
filterblase	filter blase	# 2
finanzbeamter	finanz beamter	# 2
finanzbereich	finanz bereich	# 2
finanzhilfe	finanz hilfe	# 2
finanzministerium	finanz ministerium	# 2
finanzplan	finanz plan	# 2
finanzplanung	finanz planung	# 2
finanzspritze	finanz spritze	# 2
fischfang	fisch fang	# 2
fischhändler	fisch händler	# 2
flammenhell	flamme hell	# 2
flaschenpfand	flasche pfand	# 2
flaschenzahl	flasche zahl	# 2
fleischgericht	fleisch gericht	# 2
fleischindustrie	fleisch industrie	# 2
fliegengewicht	fliegen gewicht	# 2
fliegerheld	flieger held	# 2
fluchtbewegung	flucht bewegung	# 2
fluchtgefahr	flucht gefahr	# 2
fluchtgrund	flucht grund	# 2
fluchtpunkt	flucht punkt	# 2
fluchtversuch	flucht versuch	# 2
flugbenzin	flug benzin	# 2
flugboot	flug boot	# 2
flugbranche	flug branche	# 2
flugeigenschaft	flug eigenschaft	# 2
flugkopfball	flug kopf ball	# 2
fluglinie	flug linie	# 2
flugobjekt	flug objekt	# 2
flugreise	flug reise	# 2
flugzeugtreibstoff	flug zeug treibstoff	# 2
flussbett	fluss bett	# 2
flügelfläche	flügel fläche	# 2
flügelschlag	flügel schlag	# 2
formfehler	form fehler	# 2
formsache	form sache	# 2
fortführung	fort führung	# 2
fortsatz	fort satz	# 2
fortschrittspartei	fort schritt partei	# 2
fotomotiv	foto motiv	# 2
fototermin	foto termin	# 2
fragesteller	frag teller	# 2
frageteil	frag teil	# 2
frauenthema	frau thema	# 2
frauenärztin	frau ärztin	# 2
freifläche	frei fläche	# 2
freigeist	frei geist	# 2
freihandel	frei handel	# 2
freihandelsabkommen	frei handel abkommen	# 2
freihandelszone	frei handel zone	# 2
freikörperkultur	frei körper kultur	# 2
freiwilligenarmee	freiwillig armee	# 2
freiwilligendienst	freiwillig dienst	# 2
freizeitmöglichkeit	frei zeit möglichkeit	# 2
freizeitobjekt	frei zeit objekt	# 2
fremdbezeichnung	fremd bezeichnung	# 2
fremdenhass	fremd hass	# 2
fremdkörper	fremd körper	# 2
fremdsprachenlehrer	fremd sprache lehrer	# 2
fruchtwasser	frucht wasser	# 2
fussballgucken	fuss ball gucken	# 2
fussballschuh	fuss ball schuh	# 2
fussballwelt	fuss ball welt	# 2
fussballweltmeister	fuss ball welt meister	# 2
fussbodenheizung	fuss boden heizung	# 2
fussnote	fuss note	# 2
futtermittel	futter mittel	# 2
futtersuche	futter suche	# 2
gartenarbeit	garten arbeit	# 2
gartenpartei	garten partei	# 2
gartenparty	garten party	# 2
gartenzwerg	garten zwerg	# 2
gastauftritt	gast auftritt	# 2
gastfamilie	gast familie	# 2
gebäudeenergiegesetz	gebäude energie gesetz	# 2
gedankengang	gedanke gang	# 2
gedichtanalyse	gedicht analyse	# 2
gedächtnistechnik	gedächtnis technik	# 2
gefangenenlager	gefangen lager	# 2
gefängnisleitung	gefängnis leitung	# 2
gefängnismauer	gefängnis mauer	# 2
gefängniszelle	gefängnis zelle	# 2
gegenangebot	gegen angebot	# 2
gegenbeispiel	gegen beispiel	# 2
gegenmodell	gegen modell	# 2
gegenpapst	gegen papst	# 2
gegenposition	gegen position	# 2
gegenrede	gegen rede	# 2
gegensanktion	gegen sanktion	# 2
gegenvorschlag	gegen vorschlag	# 2
geheimaktion	geheim aktion	# 2
geheimdienstmitarbeiter	geheim dienst mitarbeiter	# 2
geheimorganisation	geheim organisation	# 2
geheimrezept	geheim rezept	# 2
geheimverhandlung	geheim verhandlung	# 2
gehirnentwicklung	gehirn entwicklung	# 2
geisteshaltung	geist haltung	# 2
gelbwestenbewegung	gelb west bewegung	# 2
gelddruckmaschine	geld druck maschine	# 2
geldeswert	geld wert	# 2
geldforderung	geld forderung	# 2
geldinstitut	geld institut	# 2
geldsumme	geld summe	# 2
geldwert	geld wert	# 2
geldzahlung	geld zahlung	# 2
geländegewinn	gelände gewinn	# 2
gemeinschaftseinrichtung	gemeinschaft sein richtung	# 2
gemüsesache	gemüse sache	# 2
gemüsesuppe	gemüse suppe	# 2
gendergerechtigkeit	gender gerechtigkeit	# 2
gendersprache	gender sprache	# 2
generalstreik	general streik	# 2
genitivobjekt	genitiv objekt	# 2
gepäckausgabe	gepäck ausgabe	# 2
gepäckband	gepäck band	# 2
geruchsinn	geruch sinn	# 2
gesamtfazit	gesamt fazit	# 2
gesamtkunstwerk	gesamt kunst werk	# 2
gesamtladung	gesamt ladung	# 2
gesamtlage	gesamt lage	# 2
gesamtmenge	gesamt menge	# 2
gesamtpunktzahl	gesamt punkt zahl	# 2
gesamtschule	gesamt schule	# 2
gesamtsumme	gesamt summe	# 2
gesamturteil	gesamt urteil	# 2
geschenkartikelgeschäft	geschenk artikel geschäft	# 2
geschäftsrisikoversicherung	geschäft risiko versicherung	# 2
gesetzbuch	gesetz buch	# 2
gesetzesentscheidung	gesetz entscheidung	# 2
gesetzeslage	gesetz lage	# 2
gesetzestext	gesetz text	# 2
getränkehersteller	getränk eher teller	# 2
gewaltherrscher	gewalt herrscher	# 2
gewinnerplatte	gewinn platte	# 2
giftstoff	gift stoff	# 2
gitarrenkonzert	gitarre konzert	# 2
glasscheibe	glas scheibe	# 2
gleichschritt	gleich schritt	# 2
gleichstellungsbericht	gleich stellung bericht	# 2
gleichstellungsgesetz	gleich stellung gesetz	# 2
goldland	gold land	# 2
goldmedia	gold media	# 2
gotteskrieger	gott krieger	# 2
gottesmörder	gott mörder	# 2
grabhügel	grab hügel	# 2
gradsymbol	grad symbol	# 2
grammatikschutzgruppe	grammatik schutz gruppe	# 2
grammatikübung	grammatik übung	# 2
grillfleisch	grill fleisch	# 2
grillparty	grill party	# 2
grossangriff	gross angriff	# 2
grossasiatisch	gross asiatisch	# 2
grossereignis	gross ereignis	# 2
grosskunde	gross kunde	# 2
grossmeister	gross meister	# 2
grossraum	gross raum	# 2
grundbedürfnis	grund bedürfnis	# 2
grundform	grund form	# 2
grundhaltung	grund haltung	# 2
grundlagenwerk	grund lage werk	# 2
grundpreis	grund preis	# 2
grundrente	grund rente	# 2
grundstimmung	grund stimmung	# 2
grundumsatz	grund umsatz	# 2
grundverständnis	grund verständnis	# 2
grundwert	grund wert	# 2
grundwort	grund wort	# 2
grünfläche	grün fläche	# 2
gurkensalat	gurke salat	# 2
halbbruder	halb bruder	# 2
haltelinie	halt linie	# 2
handelsüberschuss	handel über schuss	# 2
handfläche	hand fläche	# 2
handheld	hand held	# 2
handlinie	hand linie	# 2
handspiel	hand spiel	# 2
handtasche	hand tasche	# 2
handyanbieter	handy anbieter	# 2
handyspiel	handy spiel	# 2
hasskommentar	hass kommentar	# 2
hassliebe	hass liebe	# 2
hauseingang	haus eingang	# 2
hausgast	haus gast	# 2
hausgeld	haus geld	# 2
haushaltsbatterie	haus halt batterie	# 2
haushaltsmittel	haus halt mittel	# 2
hausmädchen	haus mädchen	# 2
hausmüll	haus müll	# 2
hauspreis	haus preis	# 2
hausrecht	haus recht	# 2
hebelwirkung	hebel wirkung	# 2
heeresleitung	heer leitung	# 2
heilpraktikergesetz	heilpraktiker gesetz	# 2
heimatarmee	heimat armee	# 2
heimatliebe	heimat liebe	# 2
heimatwelt	heimat welt	# 2
hellfeld	hell feld	# 2
herausbildung	heraus bildung	# 2
herrenrasse	herr rasse	# 2
herzenhören	herz hören	# 2
herzkreislauferkrankung	herz kreis lauf erkrankung	# 2
herzstück	herz stück	# 2
hilfeplan	hilfe plan	# 2
himmelfahrtskommando	himmel fahrt kommando	# 2
hintergrundgeräusch	hinter grund geräusch	# 2
hintertreffen	hinter treffen	# 2
hirnforschung	hirn forschung	# 2
hirnhaut	hirn haut	# 2
hirnstruktur	hirn struktur	# 2
hirnteil	hirn teil	# 2
hitzesommer	hitze sommer	# 2
hochadel	hoch adel	# 2
hochameise	hoch ameise	# 2
hochhausgebiet	hoch haus gebiet	# 2
hochhaussiedlung	hoch haus siedlung	# 2
hochland	hoch land	# 2
hochleistungssportler	hoch leistung sportler	# 2
hochzeitskleid	hoch zeit kleid	# 2
hochzeitsreise	hoch zeit reise	# 2
holzfeuer	holz feuer	# 2
holzfigur	holz figur	# 2
holzplatt	holz platt	# 2
holztisch	holz tisch	# 2
hotelmitarbeiter	hotel mitarbeiter	# 2
hotelübernachtung	hotel über achtung	# 2
hungergefühl	hunger gefühl	# 2
höhenangst	höhe angst	# 2
höhlenmensch	höhle mensch	# 2
höllenbrand	hölle brand	# 2
idealvorstellung	ideal vorstellung	# 2
ideengeschichte	idee geschichte	# 2
imagefilm	image film	# 2
imageschaden	image schaden	# 2
immunkrankheit	immun krankheit	# 2
immunreaktion	immun reaktion	# 2
immunsoldat	immun soldat	# 2
industriebereich	industrie bereich	# 2
industriestrompreis	industrie strom preis	# 2
industriezentrum	industrie zentrum	# 2
infografik	info grafik	# 2
infomaterial	info material	# 2
innenecke	innen ecke	# 2
innensenator	innen senator	# 2
insektenschutzprogramm	insekt schutz programm	# 2
inselstaat	insel staat	# 2
intensivbehandlung	intensiv behandlung	# 2
interessengebiet	interesse gebiet	# 2
interessengruppe	interesse gruppe	# 2
interessenlage	interesse lage	# 2
internetauftritt	internet auftritt	# 2
internetwerbung	internet werbung	# 2
interviewanfrage	interview anfrage	# 2
jackentasche	jacke tasche	# 2
jahrbuch	jahr buch	# 2
jahresarbeitszeit	jahr arbeitszeit	# 2
jahresbeitrag	jahr beitrag	# 2
jahresbericht	jahr bericht	# 2
jahresdurchschnitt	jahr durchschnitt	# 2
jahresziel	jahr ziel	# 2
jahrgangsstufe	jahr gang stufe	# 2
jahrhundertkatastrophe	jahr hundert katastrophe	# 2
japanischkurs	japanisch kurs	# 2
judenverfolgung	jude verfolgung	# 2
jugendalter	jugend alter	# 2
jugendgefängnis	jugend gefängnis	# 2
jugendkriminalität	jugend kriminalität	# 2
jugendkultur	jugend kultur	# 2
jugendverband	jugend verband	# 2
jungsteinzeit	jung stein zeit	# 2
jungtier	jung tier	# 2
juristenformulierung	jurist formulierung	# 2
justizbehörde	justiz behörde	# 2
justizskandal	justiz skandal	# 2
jägerjäger	jäger jäger	# 2
kabelsalat	kabel salat	# 2
kaffeefilter	kaffee filter	# 2
kaffeehaus	kaffee haus	# 2
kaffeetasse	kaffee tasse	# 2
kaffeetrinken	kaffee trinken	# 2
kaiserherrschaft	kaiser herrschaft	# 2
kaiserwahl	kaiser wahl	# 2
kalenderblatt	kalender blatt	# 2
kalenderjahr	kalender jahr	# 2
kalorienbombe	kalorie bombe	# 2
kaltfront	kalt front	# 2
kamerafahrt	kamera fahrt	# 2
kameratasche	kamera tasche	# 2
kampfausrüstung	kampf ausrüstung	# 2
kampfpanzer	kampf panzer	# 2
kampfstoff	kampf stoff	# 2
kampftechnik	kampf technik	# 2
karrierechance	karriere chance	# 2
karriereleiter	karriere leiter	# 2
kartenspielen	karte spielen	# 2
kassenarzt	kasse arzt	# 2
kassenleistung	kasse leistung	# 2
katastrophenfall	katastrophe fall	# 2
katastrophengebiet	katastrophe gebiet	# 2
katastrophenhilfe	katastrophe hilfe	# 2
katastrophenplan	katastrophe plan	# 2
katastrophenschutz	katastrophe schutz	# 2
katzenfutter	katze futter	# 2
katzenvideo	katze video	# 2
kaufhaus	kauf haus	# 2
kaufverhalten	kauf verhalten	# 2
kellersystem	keller system	# 2
kernargument	kern argument	# 2
kernaussage	kern aussage	# 2
kernland	kern land	# 2
kernteam	kern team	# 2
kilokalorie	kilo kalorie	# 2
kinderfilm	kind film	# 2
kindergartenplatz	kind garten platz	# 2
kinderinfluencer	kind influencer	# 2
kinderknochen	kind knochen	# 2
kindermörder	kind mörder	# 2
kinderrecht	kind recht	# 2
kinderschuh	kind schuh	# 2
kindersoldat	kind soldat	# 2
kinderspielzeug	kind spiel zeug	# 2
kindesalter	kind alter	# 2
kindeswohl	kind wohl	# 2
kinokarte	kino karte	# 2
kirchenglocke	kirche glocke	# 2
kirchenmitglied	kirche mitglied	# 2
kirchenvater	kirche vater	# 2
kleingartenanlage	klein garten anlage	# 2
kleinrussland	klein russland	# 2
kleinunternehmer	klein unternehmer	# 2
kleinunternehmerregelung	klein unternehmer regelung	# 2
klimakanzlerin	klima kanzlerin	# 2
klimakatastrophe	klima katastrophe	# 2
klimaschutzabkommen	klima schutz abkommen	# 2
klimaschutzpolitik	klima schutz politik	# 2
knochenfisch	knochen fisch	# 2
knochengesundheit	knochen gesundheit	# 2
kohleindustrie	kohle industrie	# 2
kohlestrom	kohle strom	# 2
kompetenzzentrum	kompetenz zentrum	# 2
komplettpaket	komplett paket	# 2
konfliktforscher	konflikt forscher	# 2
konfliktregion	konflikt region	# 2
konkurrenzdruck	konkurrenz druck	# 2
kontaktverbot	kontakt verbot	# 2
kontaktverfolgung	kontakt verfolgung	# 2
kontoführung	konto führung	# 2
konzeptkünstler	konzept künstler	# 2
kopfgeldjäger	kopf geld jäger	# 2
kopfzeile	kopf zeile	# 2
kostenfaktor	kosten faktor	# 2
kostenstell	kosten stell	# 2
kostenvoranschlag	kosten voran schlag	# 2
kraftausdruck	kraft ausdruck	# 2
kraftpaket	kraft paket	# 2
kraftsportübung	kraft sport übung	# 2
krankenakte	krank akte	# 2
krankenhausbett	krank haus bett	# 2
krankenhausgesellschaft	krank haus gesellschaft	# 2
krankenmeldung	krank meldung	# 2
krankenversicherungskarte	krank versicherung karte	# 2
krankmeldung	krank meldung	# 2
krebsforschung	krebs forschung	# 2
krebsgefahr	krebs gefahr	# 2
krebspatient	krebs patient	# 2
kreislaufwirtschaft	kreis lauf wirtschaft	# 2
kreisverwaltung	kreis verwaltung	# 2
kreuzfahrttourist	kreuz fahrt tourist	# 2
kriegseinsatz	krieg sein satz	# 2
kuchenrezept	kuchen rezept	# 2
kulturangebot	kultur angebot	# 2
kulturclub	kultur club	# 2
kultureinrichtung	kultur einrichtung	# 2
kulturförderung	kultur förderung	# 2
kulturhauptstadt	kultur hauptstadt	# 2
kulturhaus	kultur haus	# 2
kulturkampf	kultur kampf	# 2
kulturpflanze	kultur pflanze	# 2
kulturunterschied	kultur unterschied	# 2
kulturveranstaltung	kultur veranstaltung	# 2
kulturverein	kultur verein	# 2
kundenbeziehung	kunde beziehung	# 2
kundentermin	kunde termin	# 2
kunstgeschichte	kunst geschichte	# 2
kunsthistoriker	kunst historiker	# 2
kunsthochschule	kunst hochschule	# 2
kunstkritiker	kunst kritiker	# 2
kunstlehrer	kunst lehrer	# 2
